key,name,formulation,domain,family,language
t_word,total_number_of_words,foundation,surface,wordsent,general
t_stopword,total_number_of_stop_words,foundation,surface,wordsent,general
t_punct,total_number_of_puntuations,foundation,syntax,wordsent,general
t_syll,total_number_of_syllables,foundation,surface,wordsent,en
t_syll2,total_number_of_words_more_than_two_syllables,foundation,surface,wordsent,en
t_syll3,total_number_of_words_more_than_three_syllables,foundation,surface,wordsent,en
t_uword,total_number_of_unique_words,foundation,surface,wordsent,general
t_sent,total_number_of_sentences,foundation,surface,wordsent,general
t_char,total_number_of_characters,foundation,surface,wordsent,general
a_word_ps,average_number_of_words_per_sentence,derivation,surface,avgwordsent,general
a_char_ps,average_number_of_characters_per_sentence,derivation,surface,avgwordsent,general
a_char_pw,average_number_of_characters_per_word,derivation,surface,avgwordsent,general
a_syll_ps,average_number_of_syllables_per_sentence,derivation,surface,avgwordsent,en
a_syll_pw,average_number_of_syllables_per_word,derivation,surface,avgwordsent,en
a_stopword_ps,average_number_of_stop_words_per_sentence,derivation,surface,avgwordsent,en
a_stopword_pw,average_number_of_stop_words_per_word,derivation,surface,avgwordsent,en
t_kup,total_kuperman_age_of_acquistion_of_words,foundation,lexico-semantics,worddiff,en
t_bry,total_brysbaert_age_of_acquistion_of_words,foundation,lexico-semantics,worddiff,en
t_subtlex_us_zipf,total_subtlex_us_zipf_of_words,foundation,lexico-semantics,worddiff,en
a_kup_pw,average_kuperman_age_of_acquistion_of_words_per_word,derivation,lexico-semantics,avgworddiff,en
a_bry_pw,average_brysbaert_age_of_acquistion_of_words_per_word,derivation,lexico-semantics,avgworddiff,en
a_kup_ps,average_kuperman_age_of_acquistion_of_words_per_sentence,derivation,lexico-semantics,avgworddiff,en
a_bry_ps,average_brysbaert_age_of_acquistion_of_words_per_sentence,derivation,lexico-semantics,avgworddiff,en
a_subtlex_us_zipf_pw,average_subtlex_us_zipf_of_words_per_word,derivation,lexico-semantics,avgworddiff,en
a_subtlex_us_zipf_ps,average_subtlex_us_zipf_of_words_per_sentence,derivation,lexico-semantics,avgworddiff,en
t_n_ent,total_number_of_named_entities,foundation,discourse,entity,general
t_n_ent_person,total_number_of_named_entities_person,foundation,discourse,entity,en
t_n_ent_norp,total_number_of_named_entities_norp,foundation,discourse,entity,en
t_n_ent_fac,total_number_of_named_entities_fac,foundation,discourse,entity,en
t_n_ent_org,total_number_of_named_entities_org,foundation,discourse,entity,en
t_n_ent_gpe,total_number_of_named_entities_gpe,foundation,discourse,entity,en
t_n_ent_loc,total_number_of_named_entities_loc,foundation,discourse,entity,en
t_n_ent_product,total_number_of_named_entities_product,foundation,discourse,entity,en
t_n_ent_event,total_number_of_named_entities_event,foundation,discourse,entity,en
t_n_ent_art,total_number_of_named_entities_art,foundation,discourse,entity,en
t_n_ent_law,total_number_of_named_entities_law,foundation,discourse,entity,en
t_n_ent_language,total_number_of_named_entities_language,foundation,discourse,entity,en
t_n_ent_date,total_number_of_named_entities_date,foundation,discourse,entity,en
t_n_ent_time,total_number_of_named_entities_time,foundation,discourse,entity,en
t_n_ent_percent,total_number_of_named_entities_percent,foundation,discourse,entity,en
t_n_ent_money,total_number_of_named_entities_money,foundation,discourse,entity,en
t_n_ent_quantity,total_number_of_named_entities_quantity,foundation,discourse,entity,en
t_n_ent_ordinal,total_number_of_named_entities_ordinal,foundation,discourse,entity,en
t_n_ent_cardinal,total_number_of_named_entities_cardinal,foundation,discourse,entity,en
a_n_ent_pw,average_number_of_named_entities_per_word,derivation,discourse,avgentity,general
a_n_ent_person_pw,average_number_of_named_entities_person_per_word,derivation,discourse,avgentity,en
a_n_ent_norp_pw,average_number_of_named_entities_norp_per_word,derivation,discourse,avgentity,en
a_n_ent_fac_pw,average_number_of_named_entities_fac_per_word,derivation,discourse,avgentity,en
a_n_ent_org_pw,average_number_of_named_entities_org_per_word,derivation,discourse,avgentity,en
a_n_ent_gpe_pw,average_number_of_named_entities_gpe_per_word,derivation,discourse,avgentity,en
a_n_ent_loc_pw,average_number_of_named_entities_loc_per_word,derivation,discourse,avgentity,en
a_n_ent_product_pw,average_number_of_named_entities_product_per_word,derivation,discourse,avgentity,en
a_n_ent_event_pw,average_number_of_named_entities_event_per_word,derivation,discourse,avgentity,en
a_n_ent_art_pw,average_number_of_named_entities_art_per_word,derivation,discourse,avgentity,en
a_n_ent_law_pw,average_number_of_named_entities_law_per_word,derivation,discourse,avgentity,en
a_n_ent_language_pw,average_number_of_named_entities_language_per_word,derivation,discourse,avgentity,en
a_n_ent_date_pw,average_number_of_named_entities_date_per_word,derivation,discourse,avgentity,en
a_n_ent_time_pw,average_number_of_named_entities_time_per_word,derivation,discourse,avgentity,en
a_n_ent_percent_pw,average_number_of_named_entities_percent_per_word,derivation,discourse,avgentity,en
a_n_ent_money_pw,average_number_of_named_entities_money_per_word,derivation,discourse,avgentity,en
a_n_ent_quantity_pw,average_number_of_named_entities_quantity_per_word,derivation,discourse,avgentity,en
a_n_ent_ordinal_pw,average_number_of_named_entities_ordinal_per_word,derivation,discourse,avgentity,en
a_n_ent_cardinal_pw,average_number_of_named_entities_cardinal_per_word,derivation,discourse,avgentity,en
a_n_ent_ps,average_number_of_named_entities_per_sentence,derivation,discourse,avgentity,general
a_n_ent_person_ps,average_number_of_named_entities_person_per_sentence,derivation,discourse,avgentity,en
a_n_ent_norp_ps,average_number_of_named_entities_norp_per_sentence,derivation,discourse,avgentity,en
a_n_ent_fac_ps,average_number_of_named_entities_fac_per_sentence,derivation,discourse,avgentity,en
a_n_ent_org_ps,average_number_of_named_entities_org_per_sentence,derivation,discourse,avgentity,en
a_n_ent_gpe_ps,average_number_of_named_entities_gpe_per_sentence,derivation,discourse,avgentity,en
a_n_ent_loc_ps,average_number_of_named_entities_loc_per_sentence,derivation,discourse,avgentity,en
a_n_ent_product_ps,average_number_of_named_entities_product_per_sentence,derivation,discourse,avgentity,en
a_n_ent_event_ps,average_number_of_named_entities_event_per_sentence,derivation,discourse,avgentity,en
a_n_ent_art_ps,average_number_of_named_entities_art_per_sentence,derivation,discourse,avgentity,en
a_n_ent_law_ps,average_number_of_named_entities_law_per_sentence,derivation,discourse,avgentity,en
a_n_ent_language_ps,average_number_of_named_entities_language_per_sentence,derivation,discourse,avgentity,en
a_n_ent_date_ps,average_number_of_named_entities_date_per_sentence,derivation,discourse,avgentity,en
a_n_ent_time_ps,average_number_of_named_entities_time_per_sentence,derivation,discourse,avgentity,en
a_n_ent_percent_ps,average_number_of_named_entities_percent_per_sentence,derivation,discourse,avgentity,en
a_n_ent_money_ps,average_number_of_named_entities_money_per_sentence,derivation,discourse,avgentity,en
a_n_ent_quantity_ps,average_number_of_named_entities_quantity_per_sentence,derivation,discourse,avgentity,en
a_n_ent_ordinal_ps,average_number_of_named_entities_ordinal_per_sentence,derivation,discourse,avgentity,en
a_n_ent_cardinal_ps,average_number_of_named_entities_cardinal_per_sentence,derivation,discourse,avgentity,en
simp_adj_var,simple_adjectives_variation,derivation,lexico-semantics,lexicalvariation,general
simp_adp_var,simple_adpositions_variation,derivation,lexico-semantics,lexicalvariation,general
simp_adv_var,simple_adverbs_variation,derivation,lexico-semantics,lexicalvariation,general
simp_aux_var,simple_auxiliaries_variation,derivation,lexico-semantics,lexicalvariation,general
simp_cconj_var,simple_coordinating_conjunctions_variation,derivation,lexico-semantics,lexicalvariation,general
simp_det_var,simple_determiners_variation,derivation,lexico-semantics,lexicalvariation,general
simp_intj_var,simple_interjections_variation,derivation,lexico-semantics,lexicalvariation,general
simp_noun_var,simple_nouns_variation,derivation,lexico-semantics,lexicalvariation,general
simp_num_var,simple_numerals_variation,derivation,lexico-semantics,lexicalvariation,general
simp_part_var,simple_particles_variation,derivation,lexico-semantics,lexicalvariation,general
simp_pron_var,simple_pronouns_variation,derivation,lexico-semantics,lexicalvariation,general
simp_propn_var,simple_proper_nouns_variation,derivation,lexico-semantics,lexicalvariation,general
simp_punct_var,simple_punctuations_variation,derivation,lexico-semantics,lexicalvariation,general
simp_sconj_var,simple_subordinating_conjunctions_variation,derivation,lexico-semantics,lexicalvariation,general
simp_sym_var,simple_symbols_variation,derivation,lexico-semantics,lexicalvariation,general
simp_verb_var,simple_verbs_variation,derivation,lexico-semantics,lexicalvariation,general
simp_space_var,simple_spaces_variation,derivation,lexico-semantics,lexicalvariation,general
root_adj_var,root_adjectives_variation,derivation,lexico-semantics,lexicalvariation,general
root_adp_var,root_adpositions_variation,derivation,lexico-semantics,lexicalvariation,general
root_adv_var,root_adverbs_variation,derivation,lexico-semantics,lexicalvariation,general
root_aux_var,root_auxiliaries_variation,derivation,lexico-semantics,lexicalvariation,general
root_cconj_var,root_coordinating_conjunctions_variation,derivation,lexico-semantics,lexicalvariation,general
root_det_var,root_determiners_variation,derivation,lexico-semantics,lexicalvariation,general
root_intj_var,root_interjections_variation,derivation,lexico-semantics,lexicalvariation,general
root_noun_var,root_nouns_variation,derivation,lexico-semantics,lexicalvariation,general
root_num_var,root_numerals_variation,derivation,lexico-semantics,lexicalvariation,general
root_part_var,root_particles_variation,derivation,lexico-semantics,lexicalvariation,general
root_pron_var,root_pronouns_variation,derivation,lexico-semantics,lexicalvariation,general
root_propn_var,root_proper_nouns_variation,derivation,lexico-semantics,lexicalvariation,general
root_punct_var,root_punctuations_variation,derivation,lexico-semantics,lexicalvariation,general
root_sconj_var,root_subordinating_conjunctions_variation,derivation,lexico-semantics,lexicalvariation,general
root_sym_var,root_symbols_variation,derivation,lexico-semantics,lexicalvariation,general
root_verb_var,root_verbs_variation,derivation,lexico-semantics,lexicalvariation,general
root_space_var,root_spaces_variation,derivation,lexico-semantics,lexicalvariation,general
corr_adj_var,corrected_adjectives_variation,derivation,lexico-semantics,lexicalvariation,general
corr_adp_var,corrected_adpositions_variation,derivation,lexico-semantics,lexicalvariation,general
corr_adv_var,corrected_adverbs_variation,derivation,lexico-semantics,lexicalvariation,general
corr_aux_var,corrected_auxiliaries_variation,derivation,lexico-semantics,lexicalvariation,general
corr_cconj_var,corrected_coordinating_conjunctions_variation,derivation,lexico-semantics,lexicalvariation,general
corr_det_var,corrected_determiners_variation,derivation,lexico-semantics,lexicalvariation,general
corr_intj_var,corrected_interjections_variation,derivation,lexico-semantics,lexicalvariation,general
corr_noun_var,corrected_nouns_variation,derivation,lexico-semantics,lexicalvariation,general
corr_num_var,corrected_numerals_variation,derivation,lexico-semantics,lexicalvariation,general
corr_part_var,corrected_particles_variation,derivation,lexico-semantics,lexicalvariation,general
corr_pron_var,corrected_pronouns_variation,derivation,lexico-semantics,lexicalvariation,general
corr_propn_var,corrected_proper_nouns_variation,derivation,lexico-semantics,lexicalvariation,general
corr_punct_var,corrected_punctuations_variation,derivation,lexico-semantics,lexicalvariation,general
corr_sconj_var,corrected_subordinating_conjunctions_variation,derivation,lexico-semantics,lexicalvariation,general
corr_sym_var,corrected_symbols_variation,derivation,lexico-semantics,lexicalvariation,general
corr_verb_var,corrected_verbs_variation,derivation,lexico-semantics,lexicalvariation,general
corr_space_var,corrected_spaces_variation,derivation,lexico-semantics,lexicalvariation,general
simp_ttr,simple_type_token_ratio,derivation,lexico-semantics,typetokenratio,general
root_ttr,root_type_token_ratio,derivation,lexico-semantics,typetokenratio,general
corr_ttr,corrected_type_token_ratio,derivation,lexico-semantics,typetokenratio,general
bilog_ttr,bilogarithmic_type_token_ratio,derivation,lexico-semantics,typetokenratio,general
uber_ttr,uber_type_token_ratio,derivation,lexico-semantics,typetokenratio,general
simp_ttr_no_lem,simple_type_token_ratio_no_lemma,derivation,lexico-semantics,typetokenratio,general
root_ttr_no_lem,root_type_token_ratio_no_lemma,derivation,lexico-semantics,typetokenratio,general
corr_ttr_no_lem,corrected_type_token_ratio_no_lemma,derivation,lexico-semantics,typetokenratio,general
bilog_ttr_no_lem,bilogarithmic_type_token_ratio_no_lemma,derivation,lexico-semantics,typetokenratio,general
uber_ttr_no_lem,uber_type_token_ratio_no_lemma,derivation,lexico-semantics,typetokenratio,general
n_adj,total_number_of_adjectives,foundation,syntax,partofspeech,general
n_adp,total_number_of_adpositions,foundation,syntax,partofspeech,general
n_adv,total_number_of_adverbs,foundation,syntax,partofspeech,general
n_aux,total_number_of_auxiliaries,foundation,syntax,partofspeech,general
n_cconj,total_number_of_coordinating_conjunctions,foundation,syntax,partofspeech,general
n_det,total_number_of_determiners,foundation,syntax,partofspeech,general
n_intj,total_number_of_interjections,foundation,syntax,partofspeech,general
n_noun,total_number_of_nouns,foundation,syntax,partofspeech,general
n_num,total_number_of_numerals,foundation,syntax,partofspeech,general
n_part,total_number_of_particles,foundation,syntax,partofspeech,general
n_pron,total_number_of_pronouns,foundation,syntax,partofspeech,general
n_propn,total_number_of_proper_nouns,foundation,syntax,partofspeech,general
n_punct,total_number_of_punctuations,foundation,syntax,partofspeech,general
n_sconj,total_number_of_subordinating_conjunctions,foundation,syntax,partofspeech,general
n_sym,total_number_of_symbols,foundation,syntax,partofspeech,general
n_verb,total_number_of_verbs,foundation,syntax,partofspeech,general
n_space,total_number_of_spaces,foundation,syntax,partofspeech,general
n_uadj,total_number_of_unique_adjectives,foundation,syntax,partofspeech,general
n_uadp,total_number_of_unique_adpositions,foundation,syntax,partofspeech,general
n_uadv,total_number_of_unique_adverbs,foundation,syntax,partofspeech,general
n_uaux,total_number_of_unique_auxiliaries,foundation,syntax,partofspeech,general
n_ucconj,total_number_of_unique_coordinating_conjunctions,foundation,syntax,partofspeech,general
n_udet,total_number_of_unique_determiners,foundation,syntax,partofspeech,general
n_uintj,total_number_of_unique_interjections,foundation,syntax,partofspeech,general
n_unoun,total_number_of_unique_nouns,foundation,syntax,partofspeech,general
n_unum,total_number_of_unique_numerals,foundation,syntax,partofspeech,general
n_upart,total_number_of_unique_particles,foundation,syntax,partofspeech,general
n_upron,total_number_of_unique_pronouns,foundation,syntax,partofspeech,general
n_upropn,total_number_of_unique_proper_nouns,foundation,syntax,partofspeech,general
n_upunct,total_number_of_unique_punctuations,foundation,syntax,partofspeech,general
n_usconj,total_number_of_unique_subordinating_conjunctions,foundation,syntax,partofspeech,general
n_usym,total_number_of_unique_symbols,foundation,syntax,partofspeech,general
n_uverb,total_number_of_unique_verbs,foundation,syntax,partofspeech,general
n_uspace,total_number_of_unique_spaces,foundation,syntax,partofspeech,general
a_adj_pw,average_number_of_adjectives_per_word,derivation,syntax,avgpartofspeech,general
a_adp_pw,average_number_of_adpositions_per_word,derivation,syntax,avgpartofspeech,general
a_adv_pw,average_number_of_adverbs_per_word,derivation,syntax,avgpartofspeech,general
a_aux_pw,average_number_of_auxiliaries_per_word,derivation,syntax,avgpartofspeech,general
a_cconj_pw,average_number_of_coordinating_conjunctions_per_word,derivation,syntax,avgpartofspeech,general
a_det_pw,average_number_of_determiners_per_word,derivation,syntax,avgpartofspeech,general
a_intj_pw,average_number_of_interjections_per_word,derivation,syntax,avgpartofspeech,general
a_noun_pw,average_number_of_nouns_per_word,derivation,syntax,avgpartofspeech,general
a_num_pw,average_number_of_numerals_per_word,derivation,syntax,avgpartofspeech,general
a_part_pw,average_number_of_particles_per_word,derivation,syntax,avgpartofspeech,general
a_pron_pw,average_number_of_pronouns_per_word,derivation,syntax,avgpartofspeech,general
a_propn_pw,average_number_of_proper_nouns_per_word,derivation,syntax,avgpartofspeech,general
a_punct_pw,average_number_of_punctuations_per_word,derivation,syntax,avgpartofspeech,general
a_sconj_pw,average_number_of_subordinating_conjunctions_per_word,derivation,syntax,avgpartofspeech,general
a_sym_pw,average_number_of_symbols_per_word,derivation,syntax,avgpartofspeech,general
a_verb_pw,average_number_of_verbs_per_word,derivation,syntax,avgpartofspeech,general
a_space_pw,average_number_of_spaces_per_word,derivation,syntax,avgpartofspeech,general
a_adj_ps,average_number_of_adjectives_per_sentence,derivation,syntax,avgpartofspeech,general
a_adp_ps,average_number_of_adpositions_per_sentence,derivation,syntax,avgpartofspeech,general
a_adv_ps,average_number_of_adverbs_per_sentence,derivation,syntax,avgpartofspeech,general
a_aux_ps,average_number_of_auxiliaries_per_sentence,derivation,syntax,avgpartofspeech,general
a_cconj_ps,average_number_of_coordinating_conjunctions_per_sentence,derivation,syntax,avgpartofspeech,general
a_det_ps,average_number_of_determiners_per_sentence,derivation,syntax,avgpartofspeech,general
a_intj_ps,average_number_of_interjections_per_sentence,derivation,syntax,avgpartofspeech,general
a_noun_ps,average_number_of_nouns_per_sentence,derivation,syntax,avgpartofspeech,general
a_num_ps,average_number_of_numerals_per_sentence,derivation,syntax,avgpartofspeech,general
a_part_ps,average_number_of_particles_per_sentence,derivation,syntax,avgpartofspeech,general
a_pron_ps,average_number_of_pronouns_per_sentence,derivation,syntax,avgpartofspeech,general
a_propn_ps,average_number_of_proper_nouns_per_sentence,derivation,syntax,avgpartofspeech,general
a_punct_ps,average_number_of_punctuations_per_sentence,derivation,syntax,avgpartofspeech,general
a_sconj_ps,average_number_of_subordinating_conjunctions_per_sentence,derivation,syntax,avgpartofspeech,general
a_sym_ps,average_number_of_symbols_per_sentence,derivation,syntax,avgpartofspeech,general
a_verb_ps,average_number_of_verbs_per_sentence,derivation,syntax,avgpartofspeech,general
a_space_ps,average_number_of_spaces_per_sentence,derivation,syntax,avgpartofspeech,general
fkre,flesch_kincaid_reading_ease,derivation,surface,readformula,en
fkgl,flesch_kincaid_grade_level,derivation,surface,readformula,en
fogi,gunning_fog_index,derivation,surface,readformula,en
smog,smog_index,derivation,surface,readformula,en
cole,coleman_liau_index,derivation,surface,readformula,en
auto,automated_readability_index,derivation,surface,readformula,en
rt_fast,reading_time_for_fast_readers,derivation,surface,readtimeformula,en
rt_average,reading_time_for_average_readers,derivation,surface,readtimeformula,en
rt_slow,reading_time_for_slow_readers,derivation,surface,readtimeformula,en
